,Order,Family,Genus,Species,CommonName,TypeLocality
10050,chiroptera,vespertilionidae,otonycteris,hemprichii,Hemprich's Desert Bat,"Restricted by Kock (1969<i>a</i>) to the Nile Valley between north of Aswan, Egypt and Chondek, Sudan."
10100,chiroptera,vespertilionidae,glauconycteris,poensis,Abo Butterfly Bat,"Nigeria, Abo (lower Niger River)."
10298,chiroptera,vespertilionidae,myotis,dominicensis,Dominican Myotis,Dominica (Lesser Antilles).
10434,chiroptera,vespertilionidae,myotis,schaubi,Schaub's Myotis,Hungary (Pliocene). See discussion in Horácek et al. (2000).
10835,carnivora,felidae,profelis,aurata,African Golden Cat,"""Nous ne savons pas au juste dans quelle partie du globe a été trouvé""; fixed by Van Mensch and Van Bree (1969) to ""probably the coastal region of Lower Guinea (Between Cross River and River Congo. . .)""."
10934,carnivora,viverridae,paguma,larvata,Masked Palm Civet,"Not given. Fixed by Temminck (1841) as ""Nepal"". Gray (1864) discounted this because he knew of no specimens from Nepal, and reassigned the name to two specimens from Canton, China collected by J. R. Reeve (Pocock, 1934<i>b</i>)."
11042,carnivora,viverridae,genetta,thierryi,Haussa Genet,"""Hinterlang von Togo von 9° n. Br. ab."", restricted to ""Borogu = Borgou, (10.78 N., 0.65 E)"" by Schlawe (1981:159)."
11046,carnivora,viverridae,genetta,victoriae,Giant Forest Genet,"""Entebbe, Uganda"". Subsequently restricted by Moreau et al. (1946:410) to ""Near Lupanzula's, ten miles [16 km] west of Beni, Ituri Forest, Congo Belge [Dem. Rep. Congo]"". See Allen (1924) for discussion."
11048,carnivora,viverridae,poiana,leightoni,Leightons Linsang,"""fifteen to twenty miles [24 to 32 km] west of the Putu Mountains, which lie west of the Duobe and Cavally Rivers. The Cavally River is the eastern boundary line between Liberia and the Côte dIvoire, and the Duobe is one of its tributaries joining the Cavally about seventy miles [113 km], as the crow flies, from its mouth, after running for over one hundred miles [161 km] nearly parallel to the main stream"" [Liberia]."
11157,carnivora,herpestidae,dologale,dybowskii,Pousargues Mongoose,"""Ubangi, Congo Belge"", restricted by Moreau et al. (1945:410) to ""on the Upper Kemo, a tributary to the north of the Ubangui, about 6°17'N, 19°12'E"" [Central African Republic]."
11197,carnivora,herpestidae,helogale,hirtula,Ethiopian Dwarf Mongoose,"""Gabridehari, 60 mi [96 km] West of Gerlogobi"", restricted by Moreau et al. (1946:410) to ""south-east Ethiopia (Ogaden) at about 7°0'N, 45°20'E"". Further restricted by Yalden et al. (1980) to ""Gabridehari (= Gabredarre, Kebridar) 6°45'N, 44°17'E""."
11231,carnivora,herpestidae,herpestes,ichneumon,Egyptian Mongoose,"""in Ægypto ad ripas Nili, ...in India primario; mansuescit"", restricted by Thomas (1911<i>a</i>) to ""Egypt""."
11451,carnivora,canidae,lycalopex,vetulus,Hoary Fox,"""Rio das Velhas's Floddal"" Lagoa Santa, Minas Gerais, Brazil (Zunino et al., 1995)."
12119,carnivora,mustelidae,neovison,vison,American Mink,"""Man findet das Vison in Canada un Pensilvanien"". Larivière (1999<i>c</i>) listed type locality as ""Eastern Canada""."
12182,carnivora,mephitidae,mephitis,macroura,Hooded Skunk,"""Gebirgs-Gegenden nordwestlich von der Stadt Mexico."" [Mexico, mountains NW of Mexico City]."
12285,carnivora,procyonidae,potos,flavus,Kinkajou,"""Er ist, der Sage nach, auf den Gebirgen in Jamaica einheimisch""; restricted by Thomas (1902<i>b</i>) to ""Surinam"". Ford and Hoffmann (1988) and Husson (1978) discussed the confusion over the name and type locality."
12433,artiodactyla,suidae,potamochoerus,porcus,Red River Hog,"""Habitat in Africa"" (West Africa); based on animals exported to Brazil (Simoons, 1953)."
12476,artiodactyla,tayassuidae,pecari,tajacu,Collared Peccary,"""Habitat in Mexici, Panamae, Brasiliae montibus, sylvis"". Mexico selected by Thomas (1911<i>a</i>:140); however, Linnaeus's name <i>Sus tajacu</i> is based on the tajacu of Marcgraf, from Brazil, Pernambuco (Cabrera, 1961:319; Hershkovitz, 1963, 1987<i>b</i>) and this restriction of the type locality is adopted here."
12504,artiodactyla,hippopotamidae,hippopotamus,amphibius,Common Hippopotamus,"""Habitat in Nilo &amp; Bambolo Africae et ad ostia fluviorum Asiae""; restricted to River Nile (Thomas, 1911<i>a</i>:155) in Egypt (G. M. Allen, 1939:457)."
12513,artiodactyla,camelidae,camelus,dromedarius,One-humped Camel,"""Habitat in Africae desertis arenosis siticulosis"", identified as ""deserts of Libya and Arabia"" by Thomas (1911<i>a</i>:150); based on domesticated stock."
12594,artiodactyla,moschidae,moschus,cupreus,Kashmir Musk Deer,"India or Pakistan, ""Kashmir (no precise locality)""."
